conference_name,event_type,attendence_type,start_date,end_date,address,sponsors,map,website
2024 IEEE 17th Pacific Visualization Conference (PacificVis),Technical Conference,In Person,23 April 2024,26 April 2024,"Tokyo, Japan",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=35.6761919%2C139.6503106&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://pvis.org/
2024 Sixth International Conference on Next Generation Data-driven Networks (NGDN),Technical Conference,Hybrid,26 April 2024,28 April 2024,"Shenyang, China (Hybrid)","['IEEE Computer Society', 'Shenyang Aerospace University']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=41.804778%2C123.432968&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://www.ngdn.net/
2024 20th International Conference on Distributed Computing in Smart Systems and the Internet of Things (DCOSS-IoT),Technical Conference,In Person,29 April 2024,1 May 2024,"Abu Dhabi, United Arab Emirates","['IEEE Computer Society', 'University of Patras']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=24.453884%2C54.3773438&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.dcoss.org/
"2024 IEEE International Conference on Mobility, Operations, Services and Technologies (MOST)",Technical Conference,In Person,1 May 2024,3 May 2024,"Dallas, Texas, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=32.7766642%2C-96.79698789999999&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieeemobility.org/MOST2024/
2024 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS),Technical Conference,In Person,5 May 2024,7 May 2024,"Indianapolis, Indiana, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=39.768403%2C-86.158068&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://ispass.org/ispass2024/
2024 IEEE International Symposium on Hardware Oriented Security and Trust (HOST),Technical Conference,In Person,6 May 2024,9 May 2024,"Tysons Corner, Virginia, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.9187222%2C-77.2310925&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://www.hostsymposium.org/
2024 IEEE 32nd Annual International Symposium on Field-Programmable Custom Computing Machines (FCCM),Technical Conference,Hybrid,6 May 2024,9 May 2024,"Orlando, Florida, USA (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=28.5383832%2C-81.3789269&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.fccm.org/
2024 IEEE 8th International Conference on Fog and Edge Computing (ICFEC),Technical Conference,In Person,6 May 2024,9 May 2024,"Philadelphia, Pennsylvania, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=39.9525839%2C-75.1652215&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://icfec2024.ontariotechu.ca/
2024 International Conference on Intelligent Systems and Computer Vision (ISCV),Technical Conference,Hybrid,8 May 2024,10 May 2024,"Fez, Morocco (Hybrid)","['IEEE Computer Society', ""Laboratoire d'Informatique"", 'Scientific Association of Intelligent Systems (ASSI)']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=34.0181246%2C-5.0078451&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.iscvconf.com/2024/
2024 IEEE 9th International Conference on Smart Cloud (SmartCloud),Technical Conference,Hybrid,10 May 2024,12 May 2024,"NYC, New York, USA (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=40.71453%2C-74.00712&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://cloud-conf.net/smartcloud/2024/index.html
2024 IEEE 10th Conference on Big Data Security on Cloud (BigDataSecurity),Technical Conference,Hybrid,10 May 2024,12 May 2024,"NYC, New York, USA (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=40.71453%2C-74.00712&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.cloud-conf.net/datasec/2024/index.html
2024 IEEE 10th IEEE International Conference on High Performance and Smart Computing (HPSC),Technical Conference,Hybrid,10 May 2024,12 May 2024,"NYC, New York, USA (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=40.71453%2C-74.00712&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.cloud-conf.net/datasec/2024/hpsc/index.html
2024 IEEE 10th International Conference on Intelligent Data and Security (IDS),Technical Conference,Hybrid,10 May 2024,12 May 2024,"NYC, New York, USA (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=40.71453%2C-74.00712&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.cloud-conf.net/datasec/2024/ids/index.html
"2024 IEEE 24th International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",Technical Conference,In Person,13 May 2024,14 May 2024,"Philadelphia, Pennsylvania, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=39.9525839%2C-75.1652215&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://cis.temple.edu/ccgrid2024/
2024 IEEE 40th International Conference on Data Engineering (ICDE),Technical Conference,In Person,13 May 2024,16 May 2024,"Utrecht, Netherlands",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=52.09073739999999%2C5.1214201&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://icde2024.github.io/
2024 IEEE/ACM Ninth International Conference on Internet-of-Things Design and Implementation (IoTDI),Technical Conference,In Person,13 May 2024,16 May 2024,"Hong Kong, Hong Kong","['IEEE Computer Society', 'Association for Computing Machinery Special Interest Group on Embedded Systems - ACM SIGBED']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.3193039%2C114.1693611&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conferences.computer.org/iotDI/2024/
2024 IEEE 30th Real-Time and Embedded Technology and Applications Symposium (RTAS),Technical Conference,In Person,13 May 2024,16 May 2024,"Hong Kong, Hong Kong",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.3193039%2C114.1693611&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://2024.rtas.org/
2024 ACM/IEEE 15th International Conference on Cyber-Physical Systems (ICCPS),Technical Conference,In Person,13 May 2024,16 May 2024,"Hong Kong, Hong Kong","['IEEE Computer Society', 'Association for Computing Machinery Special Interest Group on Embedded Systems - ACM SIGBED']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.3193039%2C114.1693611&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://iccps.acm.org/2024/
2024 IEEE 40th International Conference on Data Engineering Workshops (ICDEW),Technical Conference,In Person,13 May 2024,16 May 2024,"Utrecht, Netherlands",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=52.09073739999999%2C5.1214201&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://icde2024.github.io/
2024 IEEE 3rd Real-Time and Intelligent Edge Computing Workshop (RAGE),Technical Conference,In Person,13 May 2024,13 May 2024,"Hong Kong, Hong Kong",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.3193039%2C114.1693611&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://rage-workshop.github.io/2024/
2024 IEEE International Workshop on Foundation Models for Cyber-Physical Systems & Internet of Things (FMSys),Technical Conference,Hybrid,13 May 2024,15 May 2024,"Hong Kong, Hong Kong (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.3193039%2C114.1693611&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://fmsys24.github.io/
2024 IEEE 3rd Workshop on Machine Learning on Edge in Sensor Systems (SenSys-ML),Technical Conference,In Person,13 May 2024,16 May 2024,"Hong Kong, Hong Kong",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.3193039%2C114.1693611&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://sensysml.github.io/
2024 IEEE Coupling of Sensing & Computing in AIoT Systems (CSCAIoT),Technical Conference,In Person,13 May 2024,13 May 2024,"Hong Kong, Hong Kong",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.3193039%2C114.1693611&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://cps-iot-week2024.ie.cuhk.edu.hk/organizers.php#main
2024 IEEE Rapid Prototyping for Cyber-Physical Systems and IoT Applications with the Tock Embedded Operating System (RUSTIC),Technical Conference,In Person,13 May 2024,13 May 2024,"Hong Kong, Hong Kong",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.3193039%2C114.1693611&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://tockos.org/CPS-IoT-2024
2024 IEEE 4th Workshop on Data-Driven and Intelligent Cyber-Physical Systems for Smart Cities Workshop (DI-CPS),Technical Conference,Hybrid,13 May 2024,13 May 2024,"Hong Kong, Hong Kong (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.3193039%2C114.1693611&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://di-cps.github.io/
2024 IEEE Workshop on Design Automation for CPS and IoT (DESTION),Technical Conference,Hybrid,13 May 2024,14 May 2024,"Hong Kong, Hong Kong (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.3193039%2C114.1693611&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://cps-vo.org/group/DESTION2024
"2024 IEEE 24th International Symposium on Cluster, Cloud and Internet Computing Workshops (CCGridW)",Technical Conference,In Person,13 May 2024,16 May 2024,"Philadelphia, Pennsylvania, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=39.9525839%2C-75.1652215&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://cis.temple.edu/ccgrid2024/
2024 IEEE Workshop on Crystal-Free/-Less Radio and System-Based Research for IoT (CrystalFreeIoT),Technical Conference,In Person,14 May 2024,14 May 2024,"Hong Kong, Hong Kong",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.3193039%2C114.1693611&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://crystalfreeiot.hkust-gz.edu.cn/
"2024 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)",Technical Conference,In Person,16 May 2024,18 May 2024,"Cluj-Napoca, Romania","['IEEE Computer Society', 'Technical University of Cluj Napoca']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=46.7712101%2C23.6236353&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,
2024 IEEE Symposium on Security and Privacy (SP),Technical Conference,In Person,19 May 2024,23 May 2024,"San Francisco, California, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=37.7749295%2C-122.4194155&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.ieee-security.org/TC/SP2024/
2024 IEEE European Test Symposium (ETS),Technical Conference,In Person,20 May 2024,24 May 2024,"The Hague, Netherlands","['IEEE Computer Society', 'IEEE Council on Electronic Design Automation', 'Delft University of Technology']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=52.08409%2C4.31732&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ets24.ewi.tudelft.nl/
2024 Annual Modeling and Simulation Conference (ANNSIM),Technical Conference,In Person,20 May 2024,23 May 2024,"Washington, D.C., District of Columbia, USA","['IEEE Computer Society', 'Association for Computing Machinery - ACM', 'Society for Modeling and Simulation Int.']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.89037%2C-77.03196&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://scs.org/annsim/
2024 IEEE 27th International Symposium on Real-Time Distributed Computing (ISORC),Technical Conference,Hybrid,22 May 2024,24 May 2024,"Tunis, Tunisia (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=36.8064948%2C10.1815316&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://isorc.github.io/2024/
2024 IEEE Security and Privacy Workshops (SPW),Technical Conference,In Person,23 May 2024,23 May 2024,"San Francisco, California, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=37.7749295%2C-122.4194155&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.ieee-security.org/TC/SP2024/index.html
2024 IEEE International Parallel and Distributed Processing Symposium (IPDPS),Technical Conference,In Person,27 May 2024,31 May 2024,"San Francisco, California, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=37.7749295%2C-122.4194155&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.ipdps.org/
"2024 IEEE Conference on Software Testing, Verification and Validation (ICST)",Technical Conference,In Person,27 May 2024,31 May 2024,"Toronto, Ontario, Canada",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=43.653226%2C-79.3831843&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icst-2024
"2024 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",Technical Conference,In Person,27 May 2024,31 May 2024,"Toronto, Ontario, Canada",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=43.653226%2C-79.3831843&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icst-2024
2024 IEEE 18th International Conference on Automatic Face and Gesture Recognition (FG),Technical Conference,In Person,27 May 2024,31 May 2024,"Istanbul, Turkiye","['IEEE Biometrics Council', 'IEEE Computer Society']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=41.06201%2C28.98877&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://fg2024.ieee-biometrics.org/
2024 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),Technical Conference,In Person,27 May 2024,31 May 2024,"San Francisco, California, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=37.7749295%2C-122.4194155&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.ipdps.org/
2024 IEEE 54th International Symposium on Multiple-Valued Logic (ISMVL),Technical Conference,Hybrid,28 May 2024,30 May 2024,"Brno, Czech Republic (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=49.1950602%2C16.6068371&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://www.mvl.jpn.org/ISMVL2024/
2024 IEEE 12th International Conference on Healthcare Informatics (ICHI),Technical Conference,In Person,3 June 2024,6 June 2024,"Orlando, Florida, USA","['IEEE Computer Society', 'Institute for Healthcare Informatics']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=28.5383832%2C-81.3789269&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieeeichi2024.github.io/
2024 IEEE 21st International Conference on Software Architecture (ICSA),Technical Conference,In Person,4 June 2024,8 June 2024,"Hyderabad, India",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=17.385044%2C78.486671&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://icsa-conferences.org/series/
"2024 IEEE 25th International Symposium on a World of Wireless, Mobile and Multimedia Networks (WoWMoM)",Technical Conference,In Person,4 June 2024,7 June 2024,"Perth, Australia","['IEEE Computer Society', 'Missouri University of Science & Technology']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=-31.9523123%2C115.861309&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.cse.unsw.edu.au/~wowmom/2024/
2024 IEEE 21st International Conference on Software Architecture Companion (ICSA-C),Technical Conference,In Person,4 June 2024,8 June 2024,"Hyderabad, India",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=17.385044%2C78.486671&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://icsa-conferences.org/series/
2024 IEEE/ACIS 24th International Conference on Computer and Information Science (ICIS),Technical Conference,In Person,7 June 2024,9 June 2024,"Shanghai, China","['IEEE Computer Society', 'International Association for Computer & Information Science - ACIS']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=31.230416%2C121.473701&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://acisinternational.org/conferences/icis-2024/
2024 IEEE 31st Symposium on Computer Arithmetic (ARITH),Technical Conference,In Person,10 June 2024,12 June 2024,"Malaga, Spain",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=36.7211784%2C-4.421719899999999&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://arith2024.arithsymposium.org/
2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Technical Conference,In Person,16 June 2024,22 June 2024,"Seattle, Washington, USA","['IEEE Computer Society', 'Computer Vision Foundation - CVF']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=47.6062095%2C-122.3320708&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://cvpr.thecvf.com/
2024 Silicon Valley Cybersecurity Conference (SVCC),Technical Conference,In Person,17 June 2024,19 June 2024,"Seoul, Korea (South)","['IEEE Computer Society', 'Silicon Valley Cybersecurity Institute']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=37.55886%2C126.99989&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.svcc-svcsi.org/
2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),Technical Conference,Hybrid,17 June 2024,18 June 2024,"Seattle, Washington, USA (Hybrid)","['IEEE Computer Society', 'Computer Vision Foundation - CVF']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=47.6062095%2C-122.3320708&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://cvpr.thecvf.com/
"2024 IEEE/ACM Conference on Connected Health: Applications, Systems and Engineering Technologies (CHASE)",Technical Conference,In Person,19 June 2024,21 June 2024,"Wilmington, Delaware, USA","['IEEE Computer Society', 'Association for Computing Machinery - ACM']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=39.744655%2C-75.5483909&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conferences.computer.org/chase2024/
2024 International Conference on Meta Computing (ICMC),Technical Conference,In Person,20 June 2024,23 June 2024,"Qingdao, China","['IEEE Computer Society', 'Shandong University']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=36.0662299%2C120.38299&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://meta-computing.info/index.html
2024 54th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),Technical Conference,In Person,23 June 2024,27 June 2024,"Brisbane, Australia","['IEEE Computer Society', 'IFIP WG 10.4']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=-27.4704528%2C153.0260341&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://dsn.org/
2024 54th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W),Technical Conference,In Person,23 June 2024,27 June 2024,"Brisbane, Australia","['IEEE Computer Society', 'IFIP WG 10.4']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=-27.4704528%2C153.0260341&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://dsn.org/
2024 54th Annual IEEE/IFIP International Conference on Dependable Systems and Networks - Supplemental Volume (DSN-S),Technical Conference,In Person,23 June 2024,27 June 2024,"Brisbane, Australia","['IEEE Computer Society', 'IFIP WG 10.4']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=-27.4704528%2C153.0260341&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://dsn.org/
2024 IEEE 32nd International Requirements Engineering Conference (RE),Technical Conference,In Person,24 June 2024,28 June 2024,"Reykjavik, Iceland","['IEEE Computer Society', 'Reykjavik University']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=64.1469868%2C-21.9407552&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/RE-2024
2024 25th IEEE International Conference on Mobile Data Management (MDM),Technical Conference,In Person,24 June 2024,27 June 2024,"Brussels, Belgium",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=50.84439%2C4.35609&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://mdmconferences.org/
2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW),Technical Conference,In Person,24 June 2024,25 June 2024,"Reykjavik, Iceland","['IEEE Computer Society', 'Reykjavik University']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=64.1469868%2C-21.9407552&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/RE-2024
2024 Tenth International Conference on eDemocracy & eGovernment (ICEDEG),Technical Conference,Hybrid,24 June 2024,26 June 2024,"Lucerne, Switzerland (Hybrid)","['IEEE Computer Society', 'Lucerne University of Applied Sciences and Arts', 'Region 09 - Latin America']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=47.04954%2C8.30437&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://edem-egov.org/
2024 IEEE Conference on Artificial Intelligence (CAI),Technical Conference,In Person,25 June 2024,27 June 2024,"Singapore, Singapore","['IEEE Computer Society', 'IEEE Computational Intelligence Society', 'IEEE Systems', 'IEEE Signal Processing Society']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=1.352083%2C103.819836&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieeecai.org/2024/
2024 IEEE 37th International Symposium on Computer-Based Medical Systems (CBMS),Technical Conference,In Person,26 June 2024,28 June 2024,"Guadalajara, Mexico",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=20.68758%2C-103.35104&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://2024.cbms-conference.org/
2024 IEEE Symposium on Computers and Communications (ISCC),Technical Conference,In Person,26 June 2024,29 June 2024,"Paris, France","['IEEE Computer Society', 'France Section COM Chapter', 'IEEE Communications Society', 'Region 08 - Europe', 'France Section']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=48.856614%2C2.3522219&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieee-iscc.org/
2024 IEEE Cloud Summit,Technical Conference,In Person,27 June 2024,28 June 2024,"Washington, District of Columbia, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.9071923%2C-77.0368707&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.ieeecloudsummit.org/
2024 IEEE 11th International Conference on Cyber Security and Cloud Computing (CSCloud),Technical Conference,Hybrid,28 June 2024,30 June 2024,"Shanghai, China (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=31.230416%2C121.473701&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,
2024 IEEE 10th International Conference on Edge Computing and Scalable Cloud (EdgeCom),Technical Conference,Hybrid,28 June 2024,30 June 2024,"Shanghai, China (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=31.230416%2C121.473701&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,
2024 ACM/IEEE 51st Annual International Symposium on Computer Architecture (ISCA),Technical Conference,In Person,29 June 2024,3 July 2024,"Buenos Aires, Argentina","['IEEE Computer Society', 'Association for Computing Machinery Special Interest Group on Computer Architecture - ACM SIGARCH']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=-34.6036844%2C-58.3815591&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://iscaconf.org/isca2024/
2024 IEEE International Conference on Smart Computing (SMARTCOMP),Technical Conference,In Person,29 June 2024,2 July 2024,"Osaka, Japan","['IEEE Computer Society', 'Missouri University of Science & Technology']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=34.6937249%2C135.5022535&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://smartcomp.w.waseda.jp/
